tree,d_10_1st,d_10_2nd,d_10_3rd,d_10_4th,d_10_5th,d_10_6th,d_10_7th,d_10_8th,d_10_9th,d_10_10th,height,area_m2,sub_plot_area,subplot,subplot_density,rainfall,plot_density,plots,landform
1,4,4,,,,,,,,,420,480,210,g2s1,0.13333333,high,0.28333333,g2,shed
2,6,,,,,,,,,,410,480,210,g2s1,0.13333333,high,0.28333333,g2,shed
3,6,,,,,,,,,,410,480,210,g2s1,0.13333333,high,0.28333333,g2,shed
4,6,,,,,,,,,,420,480,210,g2s1,0.13333333,high,0.28333333,g2,shed
5,5,,,,,,,,,,420,480,210,g2s1,0.13333333,high,0.28333333,g2,shed
6,5,,,,,,,,,,420,480,210,g2s1,0.13333333,high,0.28333333,g2,shed
7,3.5,,,,,,,,,,420,480,210,g2s1,0.13333333,high,0.28333333,g2,shed
8,6,,,,,,,,,,410,480,210,g2s1,0.13333333,high,0.28333333,g2,shed
9,5,,,,,,,,,,420,480,210,g2s1,0.13333333,high,0.28333333,g2,shed
10,5,3,,,,,,,,,430,480,210,g2s1,0.13333333,high,0.28333333,g2,shed
11,5,,,,,,,,,,440,480,210,g2s1,0.13333333,high,0.28333333,g2,shed
12,5,,,,,,,,,,440,480,210,g2s1,0.13333333,high,0.28333333,g2,shed
13,3.5,,,,,,,,,,390,480,210,g2s1,0.13333333,high,0.28333333,g2,shed
14,3.5,,,,,,,,,,410,480,210,g2s1,0.13333333,high,0.28333333,g2,shed
15,3,,,,,,,,,,400,480,210,g2s1,0.13333333,high,0.28333333,g2,shed
16,3.5,,,,,,,,,,400,480,210,g2s1,0.13333333,high,0.28333333,g2,shed
17,3.5,,,,,,,,,,400,480,210,g2s1,0.13333333,high,0.28333333,g2,shed
18,3,,,,,,,,,,321,480,210,g2s1,0.13333333,high,0.28333333,g2,shed
19,4,,,,,,,,,,325,480,210,g2s1,0.13333333,high,0.28333333,g2,shed
20,4.5,,,,,,,,,,370,480,210,g2s1,0.13333333,high,0.28333333,g2,shed
21,3.5,7.5,,,,,,,,,278,480,210,g2s1,0.13333333,high,0.28333333,g2,shed
22,6,,,,,,,,,,410,480,210,g2s1,0.13333333,high,0.28333333,g2,shed
23,5.5,,,,,,,,,,430,480,210,g2s1,0.13333333,high,0.28333333,g2,shed
24,5,,,,,,,,,,410,480,210,g2s1,0.13333333,high,0.28333333,g2,shed
25,7,,,,,,,,,,380,480,210,g2s1,0.13333333,high,0.28333333,g2,shed
26,3.5,,,,,,,,,,370,480,210,g2s1,0.13333333,high,0.28333333,g2,shed
27,4.5,,,,,,,,,,258,480,210,g2s1,0.13333333,high,0.28333333,g2,shed
28,3.5,,,,,,,,,,233,480,210,g2s1,0.13333333,high,0.28333333,g2,shed
29,6,,,,,,,,,,385,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
30,5,,,,,,,,,,380,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
31,5.5,,,,,,,,,,390,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
32,3,3,,,,,,,,,390,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
33,7.5,,,,,,,,,,460,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
34,8,,,,,,,,,,460,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
35,6,,,,,,,,,,450,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
36,10.7,,,,,,,,,,460,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
37,5,,,,,,,,,,430,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
38,3,,,,,,,,,,230,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
39,3,5,,,,,,,,,420,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
40,4,,,,,,,,,,440,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
41,3,,,,,,,,,,370,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
42,5,,,,,,,,,,430,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
43,4.5,,,,,,,,,,460,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
44,6,,,,,,,,,,430,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
45,5,,,,,,,,,,360,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
46,4,,,,,,,,,,340,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
47,2.5,,,,,,,,,,357,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
48,4,,,,,,,,,,435,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
49,3,,,,,,,,,,274,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
50,7,,,,,,,,,,60,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
51,3,,,,,,,,,,328,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
52,2.5,,,,,,,,,,410,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
53,6,,,,,,,,,,390,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
54,5,,,,,,,,,,410,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
55,4.5,,,,,,,,,,430,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
56,5.5,,,,,,,,,,420,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
57,3,,,,,,,,,,420,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
58,5,,,,,,,,,,440,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
59,2.5,2.5,5,,,,,,,,400,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
60,2.5,,,,,,,,,,170,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
61,3.5,,,,,,,,,,340,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
62,3.5,,,,,,,,,,350,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
63,3,,,,,,,,,,345,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
64,3.5,,,,,,,,,,420,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
65,6,,,,,,,,,,460,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
66,4,,,,,,,,,,440,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
67,4,,,,,,,,,,440,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
68,3,,,,,,,,,,230,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
69,3,3.4,,,,,,,,,400,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
70,5,,,,,,,,,,420,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
71,5,,,,,,,,,,440,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
72,4.5,,,,,,,,,,530,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
73,6,,,,,,,,,,530,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
74,2.5,,,,,,,,,,300,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
75,4,,,,,,,,,,390,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
76,6,,,,,,,,,,405,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
77,3,,,,,,,,,,380,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
78,3,,,,,,,,,,340,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
79,4,,,,,,,,,,420,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
80,5,,,,,,,,,,430,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
81,4.5,,,,,,,,,,390,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
82,4.5,,,,,,,,,,420,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
83,3.5,,,,,,,,,,410,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
84,4,,,,,,,,,,460,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
85,4.5,,,,,,,,,,390,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
86,3,,,,,,,,,,450,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
87,4,4.5,,,,,,,,,370,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
88,4.5,,,,,,,,,,450,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
89,4,,,,,,,,,,450,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
90,4,,,,,,,,,,460,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
91,5,,,,,,,,,,380,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
92,3,,,,,,,,,,380,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
93,9.5,,,,,,,,,,470,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
94,6,,,,,,,,,,450,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
95,6,4,,,,,,,,,450,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
96,8.5,,,,,,,,,,470,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
97,5,,,,,,,,,,375,480,210,g2s2,0.328571429,high,0.28333333,g2,shed
98,10,,,,,,,,,,470,480,60,g2s3,0.65,high,0.28333333,g2,shed
99,3.5,5,,,,,,,,,410,480,60,g2s3,0.65,high,0.28333333,g2,shed
100,8,,,,,,,,,,490,480,60,g2s3,0.65,high,0.28333333,g2,shed
101,6,3,8,,,,,,,,530,480,60,g2s3,0.65,high,0.28333333,g2,shed
102,9,5.5,,,,,,,,,450,480,60,g2s3,0.65,high,0.28333333,g2,shed
103,5,3,,,,,,,,,430,480,60,g2s3,0.65,high,0.28333333,g2,shed
104,5,5,,,,,,,,,390,480,60,g2s3,0.65,high,0.28333333,g2,shed
105,5,3,,,,,,,,,360,480,60,g2s3,0.65,high,0.28333333,g2,shed
106,4,,,,,,,,,,375,480,60,g2s3,0.65,high,0.28333333,g2,shed
107,5,,,,,,,,,,360,480,60,g2s3,0.65,high,0.28333333,g2,shed
108,11.5,,,,,,,,,,375,480,60,g2s3,0.65,high,0.28333333,g2,shed
109,4,,,,,,,,,,440,480,60,g2s3,0.65,high,0.28333333,g2,shed
110,6,,,,,,,,,,470,480,60,g2s3,0.65,high,0.28333333,g2,shed
111,6,,,,,,,,,,470,480,60,g2s3,0.65,high,0.28333333,g2,shed
112,5.5,,,,,,,,,,420,480,60,g2s3,0.65,high,0.28333333,g2,shed
113,9,,,,,,,,,,520,480,60,g2s3,0.65,high,0.28333333,g2,shed
114,4,,,,,,,,,,390,480,60,g2s3,0.65,high,0.28333333,g2,shed
115,3.5,,,,,,,,,,360,480,60,g2s3,0.65,high,0.28333333,g2,shed
116,4,,,,,,,,,,410,480,60,g2s3,0.65,high,0.28333333,g2,shed
117,3,,,,,,,,,,390,480,60,g2s3,0.65,high,0.28333333,g2,shed
118,4,,,,,,,,,,460,480,60,g2s3,0.65,high,0.28333333,g2,shed
119,3,,,,,,,,,,380,480,60,g2s3,0.65,high,0.28333333,g2,shed
120,3,,,,,,,,,,420,480,60,g2s3,0.65,high,0.28333333,g2,shed
121,2.5,,,,,,,,,,330,480,60,g2s3,0.65,high,0.28333333,g2,shed
122,2,,,,,,,,,,120,480,60,g2s3,0.65,high,0.28333333,g2,shed
123,3,,,,,,,,,,420,480,60,g2s3,0.65,high,0.28333333,g2,shed
124,2.5,,,,,,,,,,380,480,60,g2s3,0.65,high,0.28333333,g2,shed
125,4,,,,,,,,,,450,480,60,g2s3,0.65,high,0.28333333,g2,shed
126,4,,,,,,,,,,360,480,60,g2s3,0.65,high,0.28333333,g2,shed
127,2,,,,,,,,,,300,480,60,g2s3,0.65,high,0.28333333,g2,shed
128,7.5,,,,,,,,,,520,480,60,g2s3,0.65,high,0.28333333,g2,shed
129,7,,,,,,,,,,480,480,60,g2s3,0.65,high,0.28333333,g2,shed
130,4,,,,,,,,,,360,480,60,g2s3,0.65,high,0.28333333,g2,shed
131,2.5,,,,,,,,,,345,480,60,g2s3,0.65,high,0.28333333,g2,shed
132,3,,,,,,,,,,390,480,60,g2s3,0.65,high,0.28333333,g2,shed
133,3.9,,,,,,,,,,380,480,60,g2s3,0.65,high,0.28333333,g2,shed
134,3,,,,,,,,,,334,480,60,g2s3,0.65,high,0.28333333,g2,shed
135,3,,,,,,,,,,410,480,60,g2s3,0.65,high,0.28333333,g2,shed
136,2,,,,,,,,,,340,480,60,g2s3,0.65,high,0.28333333,g2,shed
137,5.5,,,,,,,,,,480,210,150,g3s1,0.56,high,0.62380952,g3,shed
138,9,,,,,,,,,,230,210,150,g3s1,0.56,high,0.62380952,g3,shed
139,8,,,,,,,,,,180,210,150,g3s1,0.56,high,0.62380952,g3,shed
140,5,,,,,,,,,,500,210,150,g3s1,0.56,high,0.62380952,g3,shed
141,7,,,,,,,,,,550,210,150,g3s1,0.56,high,0.62380952,g3,shed
142,2.5,,,,,,,,,,315,210,150,g3s1,0.56,high,0.62380952,g3,shed
143,2,1,,,,,,,,,190,210,150,g3s1,0.56,high,0.62380952,g3,shed
144,1,,,,,,,,,,80,210,150,g3s1,0.56,high,0.62380952,g3,shed
145,4,,,,,,,,,,430,210,150,g3s1,0.56,high,0.62380952,g3,shed
146,5,,,,,,,,,,450,210,150,g3s1,0.56,high,0.62380952,g3,shed
147,4,,,,,,,,,,460,210,150,g3s1,0.56,high,0.62380952,g3,shed
148,4,3,,,,,,,,,460,210,150,g3s1,0.56,high,0.62380952,g3,shed
149,3,,,,,,,,,,470,210,150,g3s1,0.56,high,0.62380952,g3,shed
150,2.5,,,,,,,,,,530,210,150,g3s1,0.56,high,0.62380952,g3,shed
