tree,d_10_1st,d_10_2nd,d_10_3rd,d_10_4th,d_10_5th,d_10_6th,d_10_7th,d_10_8th,d_10_9th,d_10_10th,height,status,stem
153,7.1,,,,,,,,,,,d,s
154,5,,,,,,,,,,,d,s
155,4,,,,,,,,,,,d,s
156,4,,,,,,,,,,,d,s
157,7.4,,,,,,,,,,,d,s
158,2.5,,,,,,,,,,,d,s
159,3.5,,,,,,,,,,,d,s
160,4,,,,,,,,,,,d,s
161,5,,,,,,,,,,,d,s
162,2,,,,,,,,,,,d,s
163,3,,,,,,,,,,,d,s
164,6,,,,,,,,,,,d,s
165,5.5,,,,,,,,,,,d,s
166,16.8,8,,,,,,,,,,d,m
167,4.5,14.8,,,,,,,,,,d,m
168,19.6,,,,,,,,,,,d,s
169,4.5,,,,,,,,,,,d,s
170,2.5,4,,,,,,,,,,d,m
171,4,,,,,,,,,,,d,s
172,5.5,,,,,,,,,,,d,s
173,4,5,,,,,,,,,,d,m
174,2.5,,,,,,,,,,,d,s
175,4,,,,,,,,,,,d,s
176,7,,,,,,,,,,,d,s
177,3.5,,,,,,,,,,,d,s
178,36.2,,,,,,,,,,710,a,s
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
