Latitude,Longitude
-20.266667,134.233333
-28.933333,121.516667
-29.691667,134.791667
-28.883333,121.316667
-30.2,138.7
-25.35,131.116667
-28.8,136.116667
-29.683333,121.033333
-32.383333,135.516667
-32.599167,136.204167
-26.183602,147.223034
-28.96832,144.80878
-28.35491,144.1698
-28.20698,145.09105
-26.183602,147.223034
-26.183602,147.223034
-23.866667,143.383333
-28.15295,144.95616
-26.183602,147.223034
-26.183602,147.223034
-26.183602,147.223034
-26.183602,147.223034
-28.01836,144.30328
-27.83466,144.27968
-26.183602,147.223034
-26.183602,147.223034
-26.183602,147.223034
-26.183602,147.223034
-26.183602,147.223034
-26.183602,147.223034
-26.183602,147.223034
-27.85904,144.26521
-28.05318,144.30116
-28.151,145.00108
-26.183602,147.223034
-26.183602,147.223034
-26.183602,147.223034
-25.018917,138.265417
-30.2,138.566667
-31.5,145.816667
-30.55,145.816667
,
-31.5,145.816667
-31.5,145.816667
,
-26.50892,147.12532
-23.706594,133.883856
-29.761137,141.117631
-28.844318,144.495596
-22.723398,131.16805
-26.57231,145.93455
-29.308005,147.821197
-28.847393,145.586812
-26.536278,146.204405
-31.296526,142.319785
-27.974888,145.553698
-27.741389,147.722778
-26.512592,147.119903
-29.015,136.480833
-31.079711,142.460038
-30.667183,146.395671
-29.097562,141.412563
-25.281841,130.728793
-26.4633,119.3716
-31.079711,142.460038
-23.706451,133.884284
-26.5741,118.7102
-22.388571,118.262286
-31.162557,142.400356
-26.419267,146.35115
-23.1974,132.852123
-22.487618,134.270257
-30.786336,138.670258
-30.445083,139.008111
-26.611598,143.823403
-22.7505,145.4752
-27.989615,145.609761
-31.568794,143.216848
-26.4405,119.0122
-31.609779,144.351514
-27.954772,145.49933
-24.233272,139.326132
-29.876111,121.110833
-29.008224,141.000644
-31.892137,141.446386
-29.370338,121.269937
-25.299881,130.732241
-28.149055,145.133929
-31.103524,141.728071
-29.580276,121.12497
-31.296526,142.319785
-26.4425,119.0055
-26.5527,119.9697
-24.00157,134.069012
-31.495551,145.829596
-26.532087,146.206117
-31.898638,141.455556
-26.340807,118.624546
-23.678748,133.717138
-31.109863,145.910165
-24.254813,131.50904
-29.507256,121.244551
-31.125019,141.735122
-27.9122,120.7013
-31.444824,145.778357
-25.334764,131.0356
-30.90596,138.228653
-29.95744,142.703403
-24.368313,134.969545
-23.2457,133.770753
-29.400816,120.569455
-31.485137,131.844779
-24.2505,131.5754
-24.2583,133.439667
-29.037058,140.999185
-30.030783,145.909728
-22.557075,143.003927
-25.404399,142.70308
-22.556391,142.724482
-32.624722,145.569722
-31.008333,141.688333
-29.021,141.136056
-29.163306,141.048778
-33.10945003,141.0862
-28.216667,146.583333
-29.75,136.733333
-32.833333,144.333333
-32.9,147.05
-28.366667,120.816667
-23.783333,133.916667
-26.083333,120.233333
-23.516667,133.266667
-28.216667,146.583333
-26.083333,120.233333
-32.166667,141.983333
-26.083333,120.233333
-29.616667,135.133333
-26.083333,120.233333
-25.383333,142.75
-28.216667,146.583333
-31.15,145.683333
-22.066667,133.916667
-31.176944,125.337222
-26.083333,120.233333
-24.183333,134.016667
-26.083333,120.233333
-30.75,139.333333
-23.45,133.816667
-26.083333,120.233333
-30.966667,145.2
-23.116667,133.833333
-30.3,146.1
-30.866667,145.266667
-21.533333,133.883333
-32.066667,137.433333
-22.8,133.416667
-29.75,136.733333
-26.366667,132.45
-33.083333,147.15
-22.183333,131.516667
-30.866667,145.266667
-26.6,118.416667
-28.733333,136
-23.7,133.866667
-25.5,131.816667
-29.616667,135.133333
-30.75,139.333333
-26.183333,121.233333
-28.466667,134.183333
